
Dataset:bace, Split:random, Fewshot_False_50, Seed:0, LP-FT, Best Epoch:23, Best Acc:0.88200
Dataset:bace, Split:random, Fewshot_True_50, Seed:0, LP-FT, Best Epoch:11, Best Acc:0.73862
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:0, LP-FT, Best Epoch:2, Best Acc:0.76821
Dataset:bace, Split:size, Fewshot_True_50, Seed:0, LP-FT, Best Epoch:46, Best Acc:0.59294
Dataset:bace, Split:random, Fewshot_True_50, Seed:1, LP-FT, Best Epoch:11, Best Acc:0.73862
Dataset:bace, Split:size, Fewshot_True_50, Seed:1, LP-FT, Best Epoch:46, Best Acc:0.59314
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:1, LP-FT, Best Epoch:2, Best Acc:0.76821
Dataset:bace, Split:random, Fewshot_True_50, Seed:2, LP-FT, Best Epoch:11, Best Acc:0.73862
Dataset:bace, Split:size, Fewshot_True_50, Seed:2, LP-FT, Best Epoch:46, Best Acc:0.59314
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:2, LP-FT, Best Epoch:2, Best Acc:0.76821
Dataset:bace, Split:random, Fewshot_True_50, Seed:3, LP-FT, Best Epoch:11, Best Acc:0.73862
Dataset:bace, Split:size, Fewshot_True_50, Seed:3, LP-FT, Best Epoch:46, Best Acc:0.59304
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:3, LP-FT, Best Epoch:2, Best Acc:0.76821
Dataset:bace, Split:random, Fewshot_True_50, Seed:4, LP-FT, Best Epoch:11, Best Acc:0.73862
Dataset:bace, Split:random, Fewshot_True_50, All seed, LP-FT, Best Acc:0.73862, std: 0.00000
Dataset:bace, Split:size, Fewshot_True_50, Seed:4, LP-FT, Best Epoch:46, Best Acc:0.59294
Dataset:bace, Split:size, Fewshot_True_50, All seed, LP-FT, Best Acc:0.59304, std: 0.00009
Dataset:bace, Split:scaffold, Fewshot_True_50, Seed:4, LP-FT, Best Epoch:2, Best Acc:0.76821
Dataset:bace, Split:scaffold, Fewshot_True_50, All seed, LP-FT, Best Acc:0.76821, std: 0.00000
Dataset:bace, Split:random, Fewshot_True_100, Seed:0, LP-FT, Best Epoch:66, Best Acc:0.77801
Dataset:bace, Split:size, Fewshot_True_100, Seed:0, LP-FT, Best Epoch:37, Best Acc:0.52471
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:0, LP-FT, Best Epoch:37, Best Acc:0.79638
Dataset:bace, Split:random, Fewshot_True_100, Seed:1, LP-FT, Best Epoch:24, Best Acc:0.80112
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:1, LP-FT, Best Epoch:37, Best Acc:0.79638
Dataset:bace, Split:size, Fewshot_True_100, Seed:1, LP-FT, Best Epoch:37, Best Acc:0.52451
Dataset:bace, Split:random, Fewshot_True_100, Seed:2, LP-FT, Best Epoch:24, Best Acc:0.80112
Dataset:bace, Split:scaffold, Fewshot_True_100, Seed:2, LP-FT, Best Epoch:37, Best Acc:0.79638
Dataset:bace, Split:size, Fewshot_True_100, Seed:2, LP-FT, Best Epoch:37, Best Acc:0.52490
Dataset:bace, Split:random, Fewshot_True_100, Seed:3, LP-FT, Best Epoch:68, Best Acc:0.76488
